,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,caluquembe,-13.78,14.68,59.41,69,8,1.88,AO,1632887368
388,boyolangu,-8.12,111.89,83.59,62,70,10.87,ID,1632887368
389,alice springs,-23.7,133.88,81.95,14,0,8.05,AU,1632887290
390,shima,24.45,117.81,89.62,54,0,1.16,CN,1632887369
391,iringa,-7.77,35.7,55.81,84,34,3.96,TZ,1632887369
392,manokwari,-0.87,134.08,84.49,66,99,5.59,ID,1632887369
393,soderhamn,61.3,17.06,51.75,95,100,5.41,SE,1632887342
394,kloulklubed,7.04,134.26,88.3,71,94,9.22,PW,1632887370
395,gravdal,68.12,13.5,53.49,62,0,5.75,NO,1632887370
396,oktyabrskiy,54.48,53.47,35.94,71,75,5.55,RU,1632887371
397,elda,38.48,-0.79,64.65,69,0,5.44,ES,1632887371
398,sitka,57.05,-135.33,51.69,54,90,9.22,US,1632887372
399,port hedland,-20.32,118.57,91.45,25,3,8.05,AU,1632887372
400,cururupu,-1.83,-44.87,75.63,92,47,3.78,BR,1632887343
401,hami,42.8,93.45,73.99,17,2,3.0,CN,1632887372
402,bousso,10.48,16.71,74.53,84,100,5.84,TD,1632887373
403,nador,35.17,-2.93,62.67,88,40,3.44,MA,1632887374
404,la ronge,55.1,-105.28,66.45,55,90,10.36,CA,1632887374
405,taoudenni,22.68,-3.98,87.48,12,0,11.39,ML,1632887374
406,swellendam,-34.02,20.44,46.78,89,65,5.37,ZA,1632887375
407,san jeronimo,-11.95,-75.28,52.25,72,78,0.94,PE,1632887375
408,shimanovsk,52.0,127.7,51.82,47,20,9.13,RU,1632887376
409,tateyama,34.98,139.87,81.14,73,58,10.04,JP,1632887377
410,kjollefjord,70.95,27.35,51.62,66,0,5.75,NO,1632887377
411,seddon,-37.81,144.89,67.73,66,90,5.75,AU,1632887378
412,severo-kurilsk,50.68,156.12,54.79,77,100,11.05,RU,1632887378
413,amahai,-3.33,128.92,83.75,75,32,5.79,ID,1632887379
414,rawson,-43.3,-65.1,53.62,46,26,1.68,AR,1632887379
415,deloraine,-41.53,146.67,61.7,63,86,3.0,AU,1632887380
416,miquelon,47.1,-56.38,56.61,84,98,9.13,PM,1632887380
417,sioux lookout,50.1,-91.92,64.78,72,1,3.44,CA,1632887380
418,alexandria,31.22,29.96,75.16,69,0,6.91,EG,1632887252
419,san francisco,37.77,-122.42,67.82,69,40,1.99,US,1632887282
420,elizabeth city,36.29,-76.25,75.02,87,1,0.0,US,1632887157
421,mae sot,16.72,98.57,84.15,79,40,0.0,TH,1632887381
422,gulu,2.77,32.3,63.86,96,66,0.47,UG,1632887381
423,batagay,67.63,134.63,31.12,54,23,0.38,RU,1632887382
424,savinskiy,62.93,40.14,41.27,97,77,3.62,RU,1632887382
425,bira,49.0,132.47,58.96,92,100,2.51,RU,1632887383
426,camargo,27.67,-105.17,77.05,29,64,12.01,MX,1632887383
427,lircay,-12.99,-74.72,50.67,78,100,1.01,PE,1632887384
428,moree,-29.47,149.85,59.02,94,90,9.22,AU,1632887384
429,marystown,47.17,-55.15,61.86,100,100,6.17,CA,1632887384
430,coihaique,-45.58,-72.07,39.15,87,0,4.61,CL,1632887385
431,nyimba,-14.56,30.81,75.58,39,39,4.09,ZM,1632887385
432,tortosa,40.81,0.52,71.56,71,1,8.86,ES,1632887385
433,khanpur,28.65,70.66,93.69,44,0,9.24,PK,1632887386
434,siguiri,11.67,-9.5,73.33,83,0,3.51,GN,1632887386
435,salalah,17.02,54.09,78.89,78,0,2.3,OM,1632887386
436,saraland,30.82,-88.07,75.2,93,100,3.71,US,1632887387
437,chernyshevskiy,63.01,112.47,36.36,58,22,5.59,RU,1632887387
438,nome,64.5,-165.41,37.47,52,75,6.91,US,1632887388
439,laguna,38.42,-121.42,70.3,27,1,1.99,US,1632887388
440,mweka,-4.85,21.57,67.57,98,92,1.23,CD,1632887388
441,yamada,39.47,141.95,70.72,72,83,12.5,JP,1632887389
442,berlevag,70.86,29.09,51.8,71,93,11.99,NO,1632887389
443,russell,32.35,-85.2,70.83,93,1,0.0,US,1632887126
444,blairmore,49.6,-114.44,45.52,65,100,10.36,CA,1632887389
445,san policarpo,12.18,125.51,87.78,64,99,2.64,PH,1632887390
446,pinega,64.7,43.39,42.94,95,100,3.94,RU,1632887390
447,broome,42.25,-75.83,50.38,77,1,8.05,US,1632887390
448,waw,7.7,28.0,70.0,97,62,3.47,SS,1632887391
449,sembe,1.65,14.58,68.47,99,100,1.7,CG,1632887391
450,atuntaqui,0.33,-78.22,53.42,89,98,1.28,EC,1632887392
451,rongcheng,30.63,117.85,73.44,94,100,5.79,CN,1632887392
452,aksha,50.28,113.29,44.01,39,84,14.97,RU,1632887393
453,shadegan,30.65,48.66,69.75,12,0,6.11,IR,1632887393
454,stonewall,50.13,-97.33,73.67,50,5,13.06,CA,1632887323
455,vanimo,-2.67,141.3,86.5,68,57,9.37,PG,1632887393
456,along,28.17,94.77,87.58,57,13,1.68,IN,1632887394
457,chumikan,54.72,135.32,49.69,91,100,21.16,RU,1632887394
458,vina del mar,-33.02,-71.55,49.48,71,0,4.61,CL,1632887395
459,teya,60.38,92.63,39.45,62,100,5.3,RU,1632887395
460,kuhdasht,33.53,47.61,73.04,14,0,3.65,IR,1632887396
461,valdivia,-39.81,-73.25,42.89,97,18,0.69,CL,1632887396
462,ootmarsum,52.41,6.9,53.74,86,100,8.41,DE,1632887397
463,okhotsk,59.38,143.3,43.45,71,99,15.17,RU,1632887397
464,saint-georges,12.06,-61.75,82.08,83,20,4.61,GD,1632887190
465,ayan,56.45,138.17,49.41,93,100,9.86,RU,1632887398
466,auxerre,47.8,3.57,55.29,83,55,13.65,FR,1632887258
467,mount gambier,-37.83,140.77,69.71,49,75,17.27,AU,1632887155
468,te anau,-45.42,167.72,47.61,83,83,9.06,NZ,1632887398
469,mackenzie,55.3,-123.17,44.82,70,40,6.91,CA,1632887399
470,batticaloa,7.71,81.69,87.44,56,94,11.39,LK,1632887399
471,koumac,-20.57,164.28,73.99,73,95,10.18,NC,1632887399
472,vung tau,10.35,107.08,84.69,73,34,4.03,VN,1632887399
473,praia da vitoria,38.73,-27.07,72.75,94,75,7.99,PT,1632887400
474,maniitsoq,65.42,-52.9,31.64,49,3,7.67,GL,1632887400
475,nkhotakota,-12.93,34.3,75.76,55,2,9.1,MW,1632887401
476,nioro,13.35,-15.75,76.05,93,7,4.92,GM,1632887402
477,ewa beach,21.32,-158.01,84.15,59,1,21.0,US,1632887403
478,bentong,3.52,101.91,85.05,73,68,1.88,MY,1632887403
479,ibra,22.69,58.53,86.54,44,89,2.01,OM,1632887404
480,fort nelson,58.81,-122.7,40.59,93,90,4.61,CA,1632887119
481,tigil,57.8,158.67,37.81,82,100,18.86,RU,1632887405
482,pelym,61.01,62.0,35.91,75,19,3.33,RU,1632887405
483,mount darwin,-16.77,31.58,65.14,54,2,2.73,ZW,1632887406
484,petrolina,-9.4,-40.5,77.05,61,0,16.11,BR,1632887407
485,pangai,-19.8,-174.35,80.71,69,20,14.97,TO,1632887407
486,ketchikan,55.34,-131.65,48.18,85,100,15.05,US,1632887408
487,canutama,-6.53,-64.38,71.06,92,97,2.04,BR,1632887408
488,yaan,7.38,8.57,72.34,94,100,5.66,NG,1632887408
489,itarema,-2.92,-39.92,78.76,84,12,16.31,BR,1632887409
490,tabou,4.42,-7.35,75.79,90,83,3.87,CI,1632887164
491,byron bay,-28.65,153.62,72.05,61,100,13.8,AU,1632887237
492,el sauzal,31.9,-116.68,65.41,80,8,3.94,MX,1632887410
493,tevaitoa,-16.78,-151.5,78.51,78,25,16.6,PF,1632887410
494,moron,-34.65,-58.62,60.96,92,95,1.01,AR,1632887112
495,lac du bonnet,50.25,-96.06,67.24,60,7,9.44,CA,1632887411
496,xichang,27.9,102.26,73.71,65,13,2.77,CN,1632887411
497,kalachinsk,55.05,74.58,42.08,62,100,13.85,RU,1632887411
498,ardabil,38.25,48.29,53.76,91,100,4.25,IR,1632887412
499,kundiawa,-6.02,144.97,73.4,82,75,0.29,PG,1632887412
500,cabedelo,-6.98,-34.83,74.07,85,86,11.7,BR,1632887413
501,ulaangom,49.98,92.07,40.95,44,97,2.89,MN,1632887413
502,fontem,5.47,9.88,64.81,97,100,1.07,CM,1632887414
503,eregli,37.51,34.05,56.88,58,0,1.01,TR,1632887414
504,balikpapan,-1.27,116.83,83.39,84,40,10.36,ID,1632887342
505,natal,-5.8,-35.21,75.85,100,75,10.36,BR,1632887356
506,killybegs,54.63,-8.45,50.68,65,91,19.98,IE,1632887414
507,mitsamiouli,-11.38,43.28,79.09,69,20,9.22,KM,1632887415
508,bubaque,11.28,-15.83,81.79,77,99,13.42,GW,1632887415
509,kirya,-3.92,37.48,68.22,83,90,6.91,TZ,1632887416
510,abu dhabi,24.47,54.37,87.91,79,0,5.75,AE,1632887416
511,soyo,-6.13,12.37,74.35,83,100,6.31,AO,1632887417
512,moerai,-22.43,-151.33,74.98,81,3,7.94,PF,1632887417
513,gamboma,-1.88,15.86,72.36,92,100,4.05,CG,1632887417
514,naze,28.37,129.48,85.12,76,39,19.75,JP,1632887418
515,sernur,56.93,49.15,34.97,80,63,5.19,RU,1632887418
516,sorland,67.67,12.69,53.67,77,100,11.95,NO,1632887419
517,isabela,6.71,121.97,87.85,66,100,2.42,PH,1632887419
518,nalobikha,53.2,84.6,39.63,94,100,10.27,RU,1632887419
519,normandin,48.83,-72.53,47.82,93,99,3.44,CA,1632887420
520,kilosa,-6.83,36.98,69.93,82,65,1.41,TZ,1632887420
521,kargasok,59.06,80.86,40.33,69,24,7.25,RU,1632887420
522,torremolinos,36.62,-4.5,73.9,82,0,4.61,ES,1632887421
523,la roda,39.22,-2.15,61.9,58,0,6.87,ES,1632887421
524,langarud,37.2,50.15,68.05,72,74,0.72,IR,1632887422
525,codrington,-38.27,141.97,59.52,73,99,19.35,AU,1632887422
526,nishihara,26.18,127.76,87.46,75,40,9.22,JP,1632887423
527,divisoria,17.52,121.78,90.95,55,95,1.88,PH,1632887423
528,matay,28.42,30.78,69.58,67,0,9.57,EG,1632887424
529,jaguaribe,-5.89,-38.62,82.17,52,86,9.48,BR,1632887424
530,concepcion del uruguay,-32.48,-58.24,58.86,88,41,8.25,AR,1632887424
531,tuy hoa,13.08,109.3,85.5,71,47,9.01,VN,1632887396
532,qaracala,39.81,48.95,62.58,77,100,19.75,AZ,1632887425
533,buala,-8.14,159.59,80.17,84,100,7.78,SB,1632887425
534,phan thiet,10.93,108.1,87.73,65,38,4.54,VN,1632887425
535,sept-iles,50.2,-66.38,44.06,88,75,4.61,CA,1632887426
536,arraias,-12.93,-46.94,81.18,36,79,1.25,BR,1632887426
537,haines junction,60.75,-137.51,28.35,80,78,0.0,CA,1632887426
538,ramanuj ganj,23.8,83.7,81.36,75,76,5.77,IN,1632887427
539,ust-maya,60.42,134.53,48.42,66,77,9.62,RU,1632887427
540,kayseri,38.74,35.5,41.02,87,0,4.61,TR,1632887427
541,poum,-20.23,164.02,74.12,74,48,10.31,NC,1632887428
542,terra santa,-2.1,-56.49,77.2,71,37,1.03,BR,1632887428
543,price,39.6,-110.81,61.12,67,75,17.27,US,1632887429
544,timra,62.49,17.33,51.67,92,90,12.66,SE,1632887430
545,tandil,-37.32,-59.13,41.68,97,83,5.77,AR,1632887430
546,baykit,61.67,96.37,42.06,70,100,1.43,RU,1632887431
547,muisne,0.6,-80.03,73.81,84,100,6.96,EC,1632887431
548,lagos,6.58,3.75,77.32,93,63,2.01,NG,1632887431
549,stephenville,32.22,-98.2,71.6,90,1,0.0,US,1632887432
550,kununurra,-15.77,128.73,98.58,25,11,8.05,AU,1632887432
551,ankang,32.68,109.02,74.66,74,88,0.81,CN,1632887433
552,sabzevar,36.21,57.68,61.88,48,0,6.91,IR,1632887433
553,bima,-8.47,118.72,93.63,47,58,2.33,ID,1632887434
554,saint-augustin,51.23,-58.65,45.68,85,7,8.21,CA,1632887434
555,roald,62.58,6.13,54.34,71,78,9.22,NO,1632887435
556,zabol,32.25,67.25,73.78,33,0,5.46,AF,1632887435
557,doka,13.52,35.77,71.49,91,100,6.08,SD,1632887436
558,grevesmuhlen,53.87,11.18,52.11,96,95,7.65,DE,1632887436
559,khakhea,-24.69,23.49,69.91,19,54,7.72,BW,1632887436
560,tautira,-17.73,-149.15,80.62,81,71,14.72,PF,1632887437
561,karlskrona,56.16,15.59,55.85,94,100,15.21,SE,1632887438
562,wakkanai,45.41,141.67,71.58,60,40,9.22,JP,1632887438
563,kurumkan,54.3,110.3,41.29,57,91,2.17,RU,1632887439
564,harnosand,62.63,17.94,52.0,92,100,11.59,SE,1632887439
565,srednekolymsk,67.45,153.68,29.3,64,88,8.81,RU,1632887440
566,dwarahat,29.78,79.43,73.81,69,4,1.79,IN,1632887440
567,haukipudas,65.18,25.35,37.45,93,25,7.02,FI,1632887441
568,tessalit,20.2,1.01,82.31,11,0,8.39,ML,1632887441
569,gamba,-2.65,10.0,75.24,87,100,6.8,GA,1632887442
570,pingdu,36.78,119.95,72.84,57,13,5.73,CN,1632887442
571,capitao poco,-1.75,-47.06,71.11,98,17,4.16,BR,1632887443
572,mulchen,-37.72,-72.23,42.17,80,48,1.7,CL,1632887443
573,kieta,-6.22,155.63,84.0,76,97,6.64,PG,1632887444
